id,active,title,given_name,family_name,phone_number,phone_type,gender,birth_date,deceased_boolean,deceased_date,address,city,state,country,marital,multipleBirth,multipleBirthInteger,photo,contact,communication,preferred,generalPractitioner,managingOrganization,medical_record_number,social_security_number,driving_license,passport_number,us_core_race,us_core_ethnicity,mothers_maiden,us_core_birthsex,birth_place,disability_adj_life_years,quality_adj_life_years
ac00ac90-9af7-5b4f-aca4-8b1b9990fc1a,,Ms.,Evon528,Hayes766,555-425-6567,home,female,2000-10-29,,,947 Howe Annex Apt 40,Pocasset,MA,US,Never Married,False,,,,en-US,,,,ac00ac90-9af7-5b4f-aca4-8b1b9990fc1a,999-81-4799,S99958395,X7797404X,White,Not Hispanic or Latino,Sharita792 Metz686,F,Swansea Massachusetts US,0.2862512003607502,19.713748799639248
f8c09661-fcd1-eeea-d61e-478109235532,,Mrs.,Marianna323,Champlin946,555-833-4897,home,female,1988-02-07,,,320 Prohaska Crossing,Newton,MA,US,M,False,,,,en-US,,,,f8c09661-fcd1-eeea-d61e-478109235532,999-34-8784,S99977690,X67497912X,White,Not Hispanic or Latino,See995 Dibbert990,F,Boston Massachusetts US,0.5010347986346049,31.4989652013654
ac56a3df-7399-e895-2a6e-6ae757f3f4a5,,Mr.,Rubin812,Quigley282,555-315-1469,home,male,1996-08-22,,,493 Nader Loaf,Marblehead,MA,US,Never Married,False,,,,en-US,,,,ac56a3df-7399-e895-2a6e-6ae757f3f4a5,999-96-3011,S99912483,X5189437X,Black or African American,Not Hispanic or Latino,Tabatha105 Pfeffer420,M,Marblehead Massachusetts US,0.1032403302057088,23.89675966979429
6dcdc387-88f9-758d-260c-4235ac7c269f,,Mrs.,Genevive999,Crist667,555-567-4343,home,female,1947-10-01,,,714 Heaney Vale Suite 19,Grafton,MA,US,M,,2.0,,,en-US,,,,6dcdc387-88f9-758d-260c-4235ac7c269f,999-80-9210,S99966419,X8539782X,White,Not Hispanic or Latino,Nora0 Dietrich576,F,Uxbridge Massachusetts US,17.200432129938456,55.79956787006154
9ebde11e-7248-e63c-25f9-4b793c3a5065,,Ms.,Jana258,Nikolaus26,555-264-2183,home,female,1997-08-27,,,583 Haley Gardens,Medford,MA,US,Never Married,False,,,,en-US,,,,9ebde11e-7248-e63c-25f9-4b793c3a5065,999-11-2493,S99942409,X69950630X,White,Not Hispanic or Latino,Brinda322 Glover433,F,Waltham Massachusetts US,0.0089700071236647,22.99102999287633
0f978b87-8054-e6d3-aa03-20e101ea37c0,,Mrs.,Chelsie189,Larson43,555-810-7175,home,female,1985-10-31,,,610 Skiles Corner,Concord,MA,US,M,False,,,,en-US,,,,0f978b87-8054-e6d3-aa03-20e101ea37c0,999-12-1352,S99959699,X8010852X,White,Not Hispanic or Latino,Willette878 Hudson301,F,Mashpee Massachusetts US,0.5207575767919914,34.47924242320801
f8e9efe2-62db-29a2-46be-c72bad056ca8,,Mrs.,Kazuko67,Dibbert990,555-546-2848,home,female,1964-12-22,,,792 Daniel Quay Suite 81,Bellingham,MA,US,M,False,,,,en-US,,,,f8e9efe2-62db-29a2-46be-c72bad056ca8,999-81-2045,S99974316,X87064068X,White,Not Hispanic or Latino,Rene434 Barton704,F,Malden Massachusetts US,23.474869551722804,32.5251304482772
1ba50d39-8105-69de-09de-c6d5358b3cb6,,Mrs.,Delia459,Beier427,555-662-1542,home,female,1974-03-12,,,979 Bednar Village,Arlington,MA,US,M,False,,,,en-US,,,,1ba50d39-8105-69de-09de-c6d5358b3cb6,999-18-8370,S99952013,X49053901X,White,Not Hispanic or Latino,Andree11 Stroman228,F,Yarmouth Massachusetts US,0.0602000833944625,45.93979991660554
4e343b0a-8698-b6dd-64c6-c2d2d0959e6e,,Mrs.,Beth967,Hansen121,555-675-9219,home,female,1946-05-21,,,606 Reichert Camp,Fall River,MA,US,M,False,,,,en-US,,,,4e343b0a-8698-b6dd-64c6-c2d2d0959e6e,999-73-1554,S99984711,X89811793X,White,Not Hispanic or Latino,Chastity705 Osinski784,F,Medford Massachusetts US,40.70275919000043,33.29724080999957
8a3247d3-a54c-43f2-2c5d-a8f5e28ff588,,Mr.,Everett935,Littel644,555-136-4712,home,male,1974-10-12,,,304 Okuneva Alley Apt 39,Lawrence,MA,US,M,False,,,,en-US,,,,8a3247d3-a54c-43f2-2c5d-a8f5e28ff588,999-99-9746,S99960167,X68181762X,White,Not Hispanic or Latino,Yvonne357 Schmidt332,M,Newton Massachusetts US,11.068437098784417,34.931562901215585
bdb76eef-1faf-1ed7-d1ff-553d7df26fb3,,Ms.,Eveline832,Volkman526,555-136-2338,home,female,1960-07-07,,,918 Murray Corner Suite 5,Lancaster,MA,US,S,False,,,,en-US,,,,bdb76eef-1faf-1ed7-d1ff-553d7df26fb3,999-40-3074,S99949878,X18021555X,White,Not Hispanic or Latino,Cicely661 Haley279,F,Boston Massachusetts US,1.5319194668407647,58.46808053315924
9c02362b-0a48-be5e-7296-e332e383ebd2,,Mr.,Jamey282,Hayes766,555-193-6068,home,male,1983-06-24,,,907 Wilkinson Heights Apt 92,Newton,MA,US,M,False,,,,en-US,,,,9c02362b-0a48-be5e-7296-e332e383ebd2,999-21-2186,S99938997,X43252439X,White,Not Hispanic or Latino,Ula130 Bernier607,M,Acton Massachusetts US,0.1158846674296745,36.884115332570325
a57f2290-27ed-6117-2989-f42ef6d291ab,,Mr.,Harland508,Hintz995,555-511-1204,home,male,1941-03-08,,,573 Rohan Neck Unit 39,Boston,MA,US,M,False,,,,en-US,,,,a57f2290-27ed-6117-2989-f42ef6d291ab,999-29-3899,S99954706,X17350234X,White,Not Hispanic or Latino,Felipa93 Weissnat378,M,East Dennis Massachusetts US,5.9329878272309635,73.06701217276904
